Game,Avg. before,Avg. after,Change
Palworld,-1.12,0.76,1.88
Warframe,-1.08,0.67,1.75
Counter-Strike 2,-0.98,0.21,1.19
Sea of Thieves,0.02,0.12,0.1
PUBG: BATTLEGROUNDS,-0.76,0.26,1.02
Dead by Daylight,-0.36,0.22,0.57
Don't Starve Together,-1.0,0.65,1.64
Deep Rock Galactic,-1.03,0.7,1.73
Apex Legends,-0.48,0.6,1.08
Destiny 2,-0.78,0.58,1.36
No Man's Sky,-1.14,0.71,1.85
HELLDIVERS 2,0.81,0.19,-0.62
Path of Exile,-1.12,0.74,1.85
Rainbow Six Siege,-0.43,0.25,0.68
The Finals,-0.68,0.23,0.91
V Rising,-1.17,0.75,1.92
